127.0.0.1, 2014-10-02 14:47:52, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2014-10-02 14:47:52, GET, /welcome/default/index, HTTP/1.1, 200, 0.260253
127.0.0.1, 2014-10-02 14:48:20, GET, /admin/default/index, HTTP/1.1, 200, 0.134701
127.0.0.1, 2014-10-02 14:48:23, POST, /admin/default/index, HTTP/1.1, 303, 0.045746
127.0.0.1, 2014-10-02 14:48:23, GET, /admin/default/site, HTTP/1.1, 200, 0.047832
127.0.0.1, 2014-10-02 14:48:24, POST, /admin/default/check_version, HTTP/1.1, 200, 0.709178
127.0.0.1, 2014-10-02 14:48:37, POST, /admin/default/site, HTTP/1.1, 303, 0.103005
127.0.0.1, 2014-10-02 14:48:37, GET, /admin/default/design/myapp, HTTP/1.1, 200, 0.221568
127.0.0.1, 2014-10-02 14:48:40, GET, /admin/default/peek/myapp/controllers/default.py, HTTP/1.1, 200, 0.053728
127.0.0.1, 2014-10-02 14:50:08, GET, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.050800
127.0.0.1, 2014-10-02 14:50:08, GET, /admin/default/edit/myapp/controllers/default.py, HTTP/1.1, 200, 0.059145
127.0.0.1, 2014-10-02 14:50:09, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.093235
127.0.0.1, 2014-10-02 14:50:09, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.131468
127.0.0.1, 2014-10-02 14:50:09, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.179261
127.0.0.1, 2014-10-02 14:50:09, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.104806
127.0.0.1, 2014-10-02 14:50:45, POST, /admin/default/create_file, HTTP/1.1, 200, 0.042527
127.0.0.1, 2014-10-02 14:50:45, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.041325
127.0.0.1, 2014-10-02 14:50:45, GET, /admin/default/edit/myapp/models/default/first.html.py, HTTP/1.1, 200, 0.077161
127.0.0.1, 2014-10-02 14:50:45, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.014803
127.0.0.1, 2014-10-02 14:50:54, POST, /admin/default/create_file, HTTP/1.1, 200, 0.044403
127.0.0.1, 2014-10-02 14:50:54, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.040959
127.0.0.1, 2014-10-02 14:50:54, GET, /admin/default/edit/myapp/views/default/first.html, HTTP/1.1, 200, 0.072528
127.0.0.1, 2014-10-02 14:50:54, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.010425
127.0.0.1, 2014-10-02 14:50:59, POST, /admin/default/create_file, HTTP/1.1, 200, 0.042027
127.0.0.1, 2014-10-02 14:50:59, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.050264
127.0.0.1, 2014-10-02 14:50:59, GET, /admin/default/edit/myapp/views/default/second.html, HTTP/1.1, 200, 0.093466
127.0.0.1, 2014-10-02 14:50:59, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.013917
127.0.0.1, 2014-10-02 14:51:01, GET, /admin/default/index, HTTP/1.1, 303, 0.014140
127.0.0.1, 2014-10-02 14:51:01, GET, /admin/default/site, HTTP/1.1, 200, 0.045034
127.0.0.1, 2014-10-02 14:51:03, GET, /myapp/default/index, HTTP/1.1, 200, 0.477925
127.0.0.1, 2014-10-02 14:51:05, GET, /admin/default/design/myapp, HTTP/1.1, 200, 0.096635
127.0.0.1, 2014-10-02 14:51:11, GET, /admin/default/delete/myapp/models/default/first.html.py, HTTP/1.1, 200, 0.038630
127.0.0.1, 2014-10-02 14:51:13, POST, /admin/default/delete/myapp/models/default/first.html.py, HTTP/1.1, 303, 0.030109
127.0.0.1, 2014-10-02 14:51:13, GET, /admin/default/design/myapp, HTTP/1.1, 200, 0.086796
